snapshot_date,counting_datetime,count_type,facility_id,location_id,ndc11,product_ndc,gtin14,rxcui_scd,drug_name,dosage_form_name,route_name,pharm_classes,lot_number,expiration_date,qty_on_hand,base_unit,qty_on_order,par_level,reorder_point,safety_stock,avg_daily_usage_30d,days_on_hand,abc_class,is_controlled,dea_schedule,is_high_alert,shortage_status,shortage_reason,unit_cost,extended_value,last_count_variance,last_restocked_at,is_stockout
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-ED,10185100530,10185-1005,00310185100535,651033,Enoxaparin 40 MG/0.4ML,"INJECTION, SOLUTION",SUBCUTANEOUS,LMW Heparin,L296131,2027-12-28,23,EA,0,37,8,4,1.21,19.05,A,0,,1,Available,,8.75,201.25,0,2026-07-29,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-ED,10222100630,10222-1006,00310222100632,1169034,Cefazolin 1 G,"INJECTION, POWDER",INTRAVENOUS,Cephalosporin,L142689,2027-10-03,10,EA,0,27,8,4,1.16,8.66,A,0,,0,Available,,4.6,46.0,-1,2026-08-10,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-ED,10296100830,10296-1008,00310296100836,254955,Vancomycin 1 G,"INJECTION, POWDER",INTRAVENOUS,Glycopeptide,L649212,2027-08-01,19,EA,0,23,6,3,1.0,19.05,A,0,,1,Available,,7.4,140.6,0,2026-07-25,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-ED,10370101030,10370-1010,00310370101030,1517022,Furosemide 40 MG,TABLET,ORAL,Loop Diuretic,L273528,2027-09-30,20,EA,0,28,6,3,0.89,22.41,C,0,,0,Available,,0.06,1.2,-2,2026-07-30,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-ED,10444101230,10444-1012,00310444101234,1375608,Insulin Aspart 100 UNT/ML,"INJECTION, SOLUTION",SUBCUTANEOUS,Insulin,L444488,2027-05-15,12,EA,0,20,5,3,0.76,15.76,A,0,,1,Available,,26.4,316.8,0,2026-08-02,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-ED,10518101430,10518-1014,00310518101438,1889799,Methylprednisolone 125 MG,"INJECTION, POWDER",INTRAVENOUS,Corticosteroid,L724820,2028-06-25,14,EA,0,17,4,2,0.66,21.33,A,0,,0,ZZZ,,11.3,158.2,-2,2026-07-29,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-ED,10629101730,10629-1017,00310629101739,1552729,Potassium Chloride 10 MEQ,"INJECTION, SOLUTION",INTRAVENOUS,Electrolyte,L627765,2027-12-08,9,EA,0,12,3,2,0.55,16.33,B,0,,1,Available,,3.4,30.6,-1,2026-07-23,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-ED,10851102330,10851-1023,00310851102331,357634,Propofol 10 MG/ML,"INJECTION, EMULSION",INTRAVENOUS,General Anesthetic,L606750,2027-04-21,6,EA,0,9,2,1,0.4,15.0,B,0,,1,Available,,9.8,58.8,0,2026-08-10,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-ED,10925102530,10925-1025,00310925102535,1344352,Fentanyl Citrate 100 MCG/2ML,"INJECTION, SOLUTION",INTRAVENOUS,Opioid Analgesic,L644228,2028-09-11,8,EA,0,13,4,2,0.63,12.7,C,1,CII,1,Available,,1.3,10.4,0,2026-07-25,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-ED,10962102630,10962-1026,00310962102632,1439367,Hydromorphone 1 MG/ML,"INJECTION, SOLUTION",INTRAVENOUS,Opioid Analgesic,L759658,2028-05-23,9,EA,0,10,3,1,0.45,20.17,C,1,CII,1,Available,,2.6,23.4,0,2026-07-29,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-ED,10999102730,10999-1027,00310999102739,296745,Morphine Sulfate 4 MG/ML,"INJECTION, SOLUTION",INTRAVENOUS,Opioid Analgesic,L521047,2028-10-29,7,EA,0,12,2,1,0.42,16.67,C,1,CII,1,Available,,2.2,15.4,1,2026-08-09,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-ED,11147103130,11147-1031,00311147103137,1805098,Ketamine 500 MG/10ML,"INJECTION, SOLUTION",INTRAVENOUS,General Anesthetic,L735725,2027-06-13,11,EA,0,13,2,1,0.4,27.5,B,1,CIII,1,Available,,8.4,92.4,-1,2026-08-03,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-ED,11258103430,11258-1034,00311258103438,553043,Lorazepam 2 MG/ML,"INJECTION, SOLUTION",INTRAVENOUS,Benzodiazepine,L259195,2027-10-25,11,EA,0,12,2,1,0.4,27.5,C,1,CIV,1,Available,,3.1,34.1,-1,2026-07-28,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-ED,11406103830,11406-1038,00311406103836,622063,Tramadol 50 MG,TABLET,ORAL,Opioid Analgesic,L876603,2027-10-04,6,EA,0,9,2,1,0.4,15.0,C,1,CIV,0,Available,,0.14,0.84,2,2026-07-30,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-MICU,10000100030,10000-1000,00310000100030,1799706,Sodium Chloride 0.9%,"INJECTION, SOLUTION",INTRAVENOUS,Electrolyte,L475976,2028-07-28,40,EA,0,48,18,10,2.62,15.24,A,0,,0,Available,,1.85,74.0,-1,2026-08-09,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-MICU,10074100230,10074-1002,00310074100234,328689,Ondansetron 4 MG/2ML,INJECTION,INTRAVENOUS,5-HT3 Antagonist,L217180,2028-05-15,26,EA,0,47,11,6,1.63,15.98,B,0,,0,Available,,1.4,36.4,0,2026-08-01,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-MICU,10148100430,10148-1004,00310148100438,516040,Heparin Sodium 5000 UNT/ML,"INJECTION, SOLUTION",SUBCUTANEOUS,Anticoagulant,L516345,2027-04-26,15,EA,0,35,9,5,1.31,11.43,B,0,,1,Available,,2.1,31.5,2,2026-07-28,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-MICU,10296100830,10296-1008,00310296100836,254955,Vancomycin 1 G,"INJECTION, POWDER",INTRAVENOUS,Glycopeptide,L940262,2027-03-18,11,EA,0,24,6,3,1.0,11.03,A,0,,1,Available,,7.4,81.4,1,2026-08-06,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-MICU,10407101130,10407-1011,00310407101137,371466,Metoprolol Tartrate 5 MG/5ML,INJECTION,INTRAVENOUS,Beta Blocker,L811064,2028-12-20,23,EA,0,25,5,3,0.79,29.21,B,0,,0,Available,,2.95,67.85,0,2026-08-02,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-MICU,10444101230,10444-1012,00310444101234,1375608,Insulin Aspart 100 UNT/ML,"INJECTION, SOLUTION",SUBCUTANEOUS,Insulin,L467289,2028-08-18,9,EA,0,16,5,3,0.76,11.82,A,0,,1,Available,,26.4,237.6,0,2026-08-13,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-MICU,10518101430,10518-1014,00310518101438,1889799,Methylprednisolone 125 MG,"INJECTION, POWDER",INTRAVENOUS,Corticosteroid,L775462,2027-11-05,12,EA,0,14,4,2,0.66,18.29,A,0,,0,Available,,11.3,135.6,0,2026-08-08,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-MICU,10555101530,10555-1015,00310555101535,1841469,Famotidine 20 MG/2ML,INJECTION,INTRAVENOUS,H2 Antagonist,L299900,2027-11-18,7,EA,0,11,4,2,0.6,11.59,B,0,,0,Available,,1.95,13.65,0,2026-07-23,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-MICU,10851102330,10851-1023,00310851102331,357634,Propofol 10 MG/ML,"INJECTION, EMULSION",INTRAVENOUS,General Anesthetic,L679511,2026-11-30,6,EA,0,9,2,1,0.4,15.0,B,0,,1,Available,,9.8,58.8,0,2026-07-28,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-MICU,10888102430,10888-1024,00310888102438,682813,Dexmedetomidine 200 MCG/2ML,"INJECTION, SOLUTION",INTRAVENOUS,Alpha2 Agonist,L408876,2028-03-15,6,EA,0,-7,2,1,0.4,15.0,A,0,,1,Available,,22.5,135.0,-1,2026-08-07,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-MICU,11036102830,11036-1028,00311036102836,551924,Oxycodone 5 MG,TABLET,ORAL,Opioid Analgesic,L235239,2027-04-14,9,EA,0,11,2,1,0.4,22.5,C,1,CII,1,Available,,0.18,1.62,-1,2026-08-08,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-MICU,11073102930,11073-1029,00311073102933,1776468,Hydrocodone-Acetaminophen 5-325 MG,TABLET,ORAL,Opioid Combination,L880724,2027-03-20,9,EA,0,12,2,1,0.4,22.5,C,1,CII,1,Available,,0.22,1.98,2,2026-08-12,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-MICU,11110103030,11110-1030,00311110103030,595794,Methadone 10 MG,TABLET,ORAL,Opioid Analgesic,L586534,2028-07-31,3,EA,0,7,2,1,0.4,7.5,C,1,CII,1,Available,,0.3,0.9,0,2026-08-02,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-MICU,11147103130,11147-1031,00311147103137,1805098,Ketamine 500 MG/10ML,"INJECTION, SOLUTION",INTRAVENOUS,General Anesthetic,L479993,2028-08-16,6,EA,0,11,2,1,0.4,15.0,B,1,CIII,1,Available,,8.4,50.4,0,2026-08-11,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-MICU,11221103330,11221-1033,00311221103331,389776,Midazolam 2 MG/2ML,"INJECTION, SOLUTION",INTRAVENOUS,Benzodiazepine,L157442,2027-10-02,6,EA,0,10,2,1,0.4,15.0,C,1,CIV,1,Available,,2.8,16.8,-1,2026-08-12,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-MICU,11258103430,11258-1034,00311258103438,553043,Lorazepam 2 MG/ML,"INJECTION, SOLUTION",INTRAVENOUS,Benzodiazepine,L122072,2027-09-13,5,EA,0,8,2,1,0.4,12.5,C,1,CIV,1,Available,,3.1,15.5,-1,2026-08-05,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-MICU,11295103530,11295-1035,00311295103535,1282167,Diazepam 5 MG,TABLET,ORAL,Benzodiazepine,L639851,2028-10-15,8,EA,0,11,2,1,0.4,20.0,C,1,CIV,0,Available,,0.11,0.88,-2,2026-08-11,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-MICU,11332103630,11332-1036,00311332103632,1343983,Alprazolam 0.5 MG,TABLET,ORAL,Benzodiazepine,L208780,2027-01-31,5,EA,0,7,2,1,0.4,12.5,C,1,CIV,0,Available,,0.08,0.4,2,2026-08-06,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-MICU,11406103830,11406-1038,00311406103836,622063,Tramadol 50 MG,TABLET,ORAL,Opioid Analgesic,L288064,2028-07-22,6,EA,0,9,2,1,0.4,15.0,C,1,CIV,0,Available,,0.14,0.84,1,2026-08-07,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-SICU,10000100030,10000-1000,00310000100030,1799706,Sodium Chloride 0.9%,"INJECTION, SOLUTION",INTRAVENOUS,Electrolyte,L570481,2028-08-22,56,EA,0,76,18,10,2.62,21.33,A,0,,0,Available,,1.85,103.6,0,2026-08-06,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-SICU,10074100230,10074-1002,00310074100234,328689,Ondansetron 4 MG/2ML,INJECTION,INTRAVENOUS,5-HT3 Antagonist,L406586,2026-12-04,12,EA,0,42,11,6,1.63,7.37,B,0,,0,Available,,1.4,16.8,-2,2026-07-26,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-SICU,10111100330,10111-1003,00310111100331,793613,Pantoprazole 40 MG,"INJECTION, POWDER",INTRAVENOUS,Proton Pump Inhibitor,L386378,2026-09-30,20,EA,0,27,9,5,1.42,14.11,A,0,,0,Available,,3.2,64.0,0,2026-08-04,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-SICU,10222100630,10222-1006,00310222100632,1169034,Cefazolin 1 G,"INJECTION, POWDER",INTRAVENOUS,Cephalosporin,L133208,2028-05-26,26,EA,0,32,8,4,1.16,22.51,A,0,,0,Available,,4.6,119.6,0,2026-07-27,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-SICU,10296100830,10296-1008,00310296100836,254955,Vancomycin 1 G,"INJECTION, POWDER",INTRAVENOUS,Glycopeptide,L373028,2029-01-04,10,EA,0,24,6,3,1.0,10.03,A,0,,1,Available,,7.4,74.0,-2,2026-07-31,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-SICU,10333100930,10333-1009,00310333100933,332278,Ceftriaxone 1 G,"INJECTION, POWDER",INTRAVENOUS,Cephalosporin,L706764,2027-05-17,13,EA,0,27,6,3,0.92,14.15,A,0,,0,Available,,5.1,66.3,0,2026-08-01,0
