rxcui_scd,rxcui_in,ndc11,product_ndc,gtin14,proprietary_name,non_proprietary_name,dosage_form_name,route_name,pharm_classes,dea_schedule,dea_drug_code,is_controlled,labeler_name,unit_cost,usage_weight,is_shortage_prone,is_high_alert,ndc_source,abc_class
371466,980174,10407101130,10407-1011,00310407101137,Metoprolol,Metoprolol Tartrate 5 MG/5ML,INJECTION,INTRAVENOUS,Beta Blocker,,,0,Zhang and Sons Pharmaceuticals,2.95,3.0,0,0,synthetic (NDC-shaped),B
1375608,975307,10444101230,10444-1012,00310444101234,Insulin,Insulin Aspart 100 UNT/ML,"INJECTION, SOLUTION",SUBCUTANEOUS,Insulin,,,0,Keith-Murray Pharmaceuticals,26.4,2.9,0,1,synthetic (NDC-shaped),A
1533243,711288,10481101330,10481-1013,00310481101331,Levetiracetam,Levetiracetam 500 MG/5ML,"INJECTION, SOLUTION",INTRAVENOUS,Antiepileptic,,,0,Watson Ltd Pharmaceuticals,6.8,2.6,0,0,synthetic (NDC-shaped),A
1889799,1821781,10518101430,10518-1014,00310518101438,Methylprednisolone,Methylprednisolone 125 MG,"INJECTION, POWDER",INTRAVENOUS,Corticosteroid,,,0,Richardson-Rivera Pharmaceuticals,11.3,2.5,1,0,synthetic (NDC-shaped),A
1841469,1704144,10555101530,10555-1015,00310555101535,Famotidine,Famotidine 20 MG/2ML,INJECTION,INTRAVENOUS,H2 Antagonist,,,0,Brooks-Miller Pharmaceuticals,1.95,2.3,1,0,synthetic (NDC-shaped),B
1774912,1108321,10592101630,10592-1016,00310592101632,Albuterol,Albuterol 2.5 MG/3ML,INHALATION SOLUTION,RESPIRATORY,Beta2 Agonist,,,0,Little-Boyd Pharmaceuticals,0.55,2.2,0,0,synthetic (NDC-shaped),C
1552729,1228240,10629101730,10629-1017,00310629101739,Potassium,Potassium Chloride 10 MEQ,"INJECTION, SOLUTION",INTRAVENOUS,Electrolyte,,,0,Gray-Lopez Pharmaceuticals,3.4,2.1,0,1,synthetic (NDC-shaped),B
1178750,522680,10666101830,10666-1018,00310666101836,Atorvastatin,Atorvastatin 40 MG,TABLET,ORAL,Statin,,,0,Adams-Scott Pharmaceuticals,0.09,2.0,0,0,synthetic (NDC-shaped),C
930230,854591,10703101930,10703-1019,00310703101933,Lisinopril,Lisinopril 10 MG,TABLET,ORAL,ACE Inhibitor,,,0,Ponce-Thompson Pharmaceuticals,0.05,1.9,0,0,synthetic (NDC-shaped),C
1340561,1484055,10740102030,10740-1020,00310740102030,Aspirin,Aspirin 81 MG,"TABLET, DELAYED RELEASE",ORAL,Antiplatelet,,,0,Rodgers-Moss Pharmaceuticals,0.02,1.8,0,0,synthetic (NDC-shaped),C
794629,1042108,10777102130,10777-1021,00310777102137,Apixaban,Apixaban 5 MG,TABLET,ORAL,Direct Oral Anticoagulant,,,0,Escobar LLC Pharmaceuticals,7.9,1.6,0,1,synthetic (NDC-shaped),B
1102306,1159188,10814102230,10814-1022,00310814102234,Norepinephrine,Norepinephrine 4 MG/4ML,"INJECTION, SOLUTION",INTRAVENOUS,Vasopressor,,,0,Jackson Group Pharmaceuticals,14.6,1.5,1,1,synthetic (NDC-shaped),A
357634,1168582,10851102330,10851-1023,00310851102331,Propofol,Propofol 10 MG/ML,"INJECTION, EMULSION",INTRAVENOUS,General Anesthetic,,,0,"King, Huang and Reed Pharmaceuticals",9.8,1.4,0,1,synthetic (NDC-shaped),B
682813,888189,10888102430,10888-1024,00310888102438,Dexmedetomidine,Dexmedetomidine 200 MCG/2ML,"INJECTION, SOLUTION",INTRAVENOUS,Alpha2 Agonist,,,0,Owens-Roth Pharmaceuticals,22.5,1.2,0,1,synthetic (NDC-shaped),A
1344352,1066062,10925102530,10925-1025,00310925102535,Fentanyl,Fentanyl Citrate 100 MCG/2ML,"INJECTION, SOLUTION",INTRAVENOUS,Opioid Analgesic,CII,9801,1,"Baker, Boone and Perez Pharmaceuticals",1.3,2.4,1,1,synthetic (NDC-shaped),C
1439367,1023742,10962102630,10962-1026,00310962102632,Hydromorphone,Hydromorphone 1 MG/ML,"INJECTION, SOLUTION",INTRAVENOUS,Opioid Analgesic,CII,9150,1,"Bishop, Rodriguez and Morales Pharmaceuticals",2.6,1.7,0,1,synthetic (NDC-shaped),C
296745,800241,10999102730,10999-1027,00310999102739,Morphine,Morphine Sulfate 4 MG/ML,"INJECTION, SOLUTION",INTRAVENOUS,Opioid Analgesic,CII,9300,1,Chase-Sloan Pharmaceuticals,2.2,1.6,1,1,synthetic (NDC-shaped),C
551924,1763204,11036102830,11036-1028,00311036102836,Oxycodone,Oxycodone 5 MG,TABLET,ORAL,Opioid Analgesic,CII,9143,1,Jones-Reyes Pharmaceuticals,0.18,1.5,0,1,synthetic (NDC-shaped),C
1776468,590534,11073102930,11073-1029,00311073102933,Hydrocodone-Acetaminophen,Hydrocodone-Acetaminophen 5-325 MG,TABLET,ORAL,Opioid Combination,CII,9193,1,Mora Group Pharmaceuticals,0.22,1.3,0,1,synthetic (NDC-shaped),C
595794,524930,11110103030,11110-1030,00311110103030,Methadone,Methadone 10 MG,TABLET,ORAL,Opioid Analgesic,CII,9250,1,Hall and Sons Pharmaceuticals,0.3,0.5,0,1,synthetic (NDC-shaped),C
1805098,1308984,11147103130,11147-1031,00311147103137,Ketamine,Ketamine 500 MG/10ML,"INJECTION, SOLUTION",INTRAVENOUS,General Anesthetic,CIII,7285,1,Moreno Ltd Pharmaceuticals,8.4,0.7,0,1,synthetic (NDC-shaped),B
647859,375526,11184103230,11184-1032,00311184103234,Buprenorphine,Buprenorphine 0.3 MG/ML,"INJECTION, SOLUTION",INTRAVENOUS,Partial Opioid Agonist,CIII,9064,1,Dawson-Bolton Pharmaceuticals,6.2,0.4,0,1,synthetic (NDC-shaped),C
389776,1125883,11221103330,11221-1033,00311221103331,Midazolam,Midazolam 2 MG/2ML,"INJECTION, SOLUTION",INTRAVENOUS,Benzodiazepine,CIV,2884,1,Castillo-Rivers Pharmaceuticals,2.8,1.5,1,1,synthetic (NDC-shaped),C
553043,1454578,11258103430,11258-1034,00311258103438,Lorazepam,Lorazepam 2 MG/ML,"INJECTION, SOLUTION",INTRAVENOUS,Benzodiazepine,CIV,2885,1,"Quinn, Phillips and Barnett Pharmaceuticals",3.1,1.4,1,1,synthetic (NDC-shaped),C
1282167,1720971,11295103530,11295-1035,00311295103535,Diazepam,Diazepam 5 MG,TABLET,ORAL,Benzodiazepine,CIV,2765,1,Carter Group Pharmaceuticals,0.11,0.6,0,0,synthetic (NDC-shaped),C
1343983,527865,11332103630,11332-1036,00311332103632,Alprazolam,Alprazolam 0.5 MG,TABLET,ORAL,Benzodiazepine,CIV,2882,1,Li-Brooks Pharmaceuticals,0.08,0.5,0,0,synthetic (NDC-shaped),C
1167174,674953,11369103730,11369-1037,00311369103739,Phenobarbital,Phenobarbital 65 MG/ML,"INJECTION, SOLUTION",INTRAVENOUS,Barbiturate,CIV,2285,1,Mckenzie-Smith Pharmaceuticals,4.9,0.3,0,0,synthetic (NDC-shaped),C
622063,1156889,11406103830,11406-1038,00311406103836,Tramadol,Tramadol 50 MG,TABLET,ORAL,Opioid Analgesic,CIV,9752,1,"Miller, Miller and Howell Pharmaceuticals",0.14,0.9,0,0,synthetic (NDC-shaped),C
1028946,1355946,11443103930,11443-1039,00311443103933,Pregabalin,Pregabalin 75 MG,CAPSULE,ORAL,Anticonvulsant,CV,2782,1,"Wright, Graham and Kaufman Pharmaceuticals",0.35,0.6,0,0,synthetic (NDC-shaped),C
